Top,Spectral,Clustering,Silhouette,CH,DB,Time
10,1a,1b,0.55,354.74,0.25,16.838924646377563
10,1a,2b,0.81,142.49,0.1,15.797040462493896
10,1a,3b,0.51,306.24,0.37,15.003417253494263
10,1a,4b,0.42,11.16,1.96,14.800419807434082
10,1a,5b,0.8,1436.35,0.15,14.87817645072937
10,2a,1b,0.62,377.72,0.72,14.374003648757935
10,2a,2b,0.55,79.19,0.52,14.267471313476562
10,2a,3b,0.62,364.09,0.92,14.27146577835083
10,2a,4b,-0.51,8.71,1.31,14.273252248764038
10,2a,5b,0.79,716.63,0.43,15.070174217224121
20,1a,1b,0.9,56.21,0.11,18.14128017425537
20,1a,2b,0.91,55.09,0.04,17.911466360092163
20,1a,3b,0.91,46.81,0.47,18.370176792144775
20,1a,4b,0.96,0.13,45.21,18.407033443450928
20,1a,5b,0.98,237504.29,0.0,18.24808669090271
20,2a,1b,0.35,118.46,1.32,17.279727697372437
20,2a,2b,0.26,13.93,0.8,17.453962326049805
20,2a,3b,0.24,86.78,1.38,18.14838480949402
20,2a,4b,-0.04,15.45,0.91,19.28846549987793
20,2a,5b,0.61,571.32,0.68,18.42916202545166
30,1a,1b,0.89,68.23,0.1,22.538472414016724
30,1a,2b,0.92,75.17,0.03,22.386643648147583
30,1a,3b,0.89,63.84,0.21,22.464641571044922
30,1a,4b,0.92,0.08,46.56,22.598620176315308
30,1a,5b,0.98,40565.34,0.0,23.142884969711304
30,2a,1b,0.68,128.09,1.11,22.95864248275757
30,2a,2b,0.79,16.71,0.13,22.903959274291992
30,2a,3b,0.16,101.79,2.83,23.295845985412598
30,2a,4b,N/A,N/A,N/A,23.261317014694214
30,2a,5b,0.45,282.32,0.98,23.62555170059204
40,1a,1b,0.9,72.95,0.06,32.585309743881226
40,1a,2b,0.91,64.17,0.04,34.54101014137268
40,1a,3b,0.59,46.96,0.9,31.115330934524536
40,1a,4b,0.96,10.44,5.78,30.122628688812256
40,1a,5b,0.98,250642.5,0.0,30.165400743484497
40,2a,1b,0.84,145.01,1.05,30.472736358642578
40,2a,2b,0.81,22.9,0.12,30.818571090698242
40,2a,3b,0.35,111.33,1.63,29.543026447296143
40,2a,4b,0.85,50.11,2.04,28.824613094329834
40,2a,5b,0.88,47466.65,0.02,29.426045179367065
50,1a,1b,0.89,60.11,0.06,35.33655571937561
50,1a,2b,0.91,50.78,0.04,35.29126977920532
50,1a,3b,0.73,45.1,0.65,35.18848371505737
50,1a,4b,0.96,29.45,3.29,35.24635171890259
50,1a,5b,0.98,2284270.59,0.02,35.54112648963928
50,2a,1b,0.41,149.36,1.13,35.736379861831665
50,2a,2b,0.31,48.13,0.95,36.58580040931702
50,2a,3b,0.39,132.73,1.62,37.21892833709717
50,2a,4b,N/A,N/A,N/A,37.78597855567932
50,2a,5b,0.49,430.98,0.87,37.99506974220276
60,1a,1b,0.86,57.28,0.13,43.96386456489563
60,1a,2b,0.9,50.97,0.04,43.52792191505432
60,1a,3b,0.18,46.19,0.75,46.49755620956421
60,1a,4b,0.94,13.8,4.5,45.25192451477051
60,1a,5b,0.96,166.92,0.97,47.141353368759155
60,2a,1b,0.37,126.94,1.13,44.65523338317871
60,2a,2b,0.25,34.38,0.92,45.18051028251648
60,2a,3b,0.32,116.24,1.68,47.4228892326355
60,2a,4b,-0.37,23.91,1.02,46.98821806907654
60,2a,5b,0.52,334.68,0.96,46.90788769721985
70,1a,1b,0.91,69.88,0.88,55.251753091812134
70,1a,2b,0.92,67.44,0.03,55.55767607688904
70,1a,3b,0.29,50.39,0.59,54.637935638427734
70,1a,4b,0.85,0.04,65.17,54.329495668411255
70,1a,5b,0.84,56.11,1.79,55.45710587501526
70,2a,1b,0.43,123.92,1.07,54.99652409553528
70,2a,2b,0.26,40.75,0.94,56.889240980148315
70,2a,3b,0.3,109.15,1.54,54.823819637298584
70,2a,4b,N/A,N/A,N/A,53.23039889335632
70,2a,5b,0.48,469.66,0.88,54.38425254821777
80,1a,1b,0.91,74.71,0.11,64.61904287338257
80,1a,2b,0.92,69.45,0.03,66.4510383605957
80,1a,3b,0.85,48.32,0.79,64.21668148040771
80,1a,4b,0.98,0.27,37.57,64.1068000793457
80,1a,5b,0.99,276689.97,0.0,65.87686729431152
80,2a,1b,0.8,125.87,1.07,65.1766939163208
80,2a,2b,0.8,19.5,0.12,66.06693744659424
80,2a,3b,0.15,90.39,1.5,64.95989966392517
80,2a,4b,N/A,N/A,N/A,63.67993688583374
80,2a,5b,0.48,484.8,0.88,64.07897853851318
90,1a,1b,0.9,62.86,0.87,78.58022594451904
90,1a,2b,0.91,54.14,0.04,79.31743812561035
90,1a,3b,0.89,42.65,0.12,77.80233764648438
90,1a,4b,0.86,0.1,41.39,77.36416220664978
90,1a,5b,0.88,94.62,1.25,75.88885402679443
90,2a,1b,0.81,107.96,0.86,75.91991949081421
90,2a,2b,0.8,20.34,0.12,77.84717798233032
90,2a,3b,-0.02,69.23,1.73,78.25393223762512
90,2a,4b,0.55,9.95,3.01,76.72464299201965
90,2a,5b,0.74,98.58,1.16,77.01996684074402
100,1a,1b,0.91,77.58,0.11,91.64604163169861
100,1a,2b,0.92,70.97,0.03,91.56171822547913
100,1a,3b,0.19,44.58,0.59,90.86277365684509
100,1a,4b,0.98,0.28,37.66,88.65979027748108
100,1a,5b,0.99,300927.67,0.0,88.66334295272827
100,2a,1b,0.4,142.69,1.24,86.9052186012268
100,2a,2b,0.22,34.99,0.98,86.60079097747803
100,2a,3b,0.29,112.77,2.02,87.01995253562927
100,2a,4b,N/A,N/A,N/A,86.98527145385742
100,2a,5b,0.49,513.18,0.86,89.66068577766418
